,path,project,product,domain,institute,driving_model,experiment,ensemble,rcm_model,rcm_version,time_frequency,variable,version,period_start,period_end,climatology,latest,directory
30,/bdd/CORDEX/output/EUR-11/GERICS/CNRM-CERFACS-CNRM-CM5/rcp85/r1i1p1/GERICS-REMO2015/v2/day/tasmax/v20200925/tasmax_EUR-11_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_GERICS-REMO2015_v2_day_20410101-20451231.nc,CORDEX,output,EUR-11,GERICS,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,GERICS-REMO2015,v2,day,tasmax,v20200925,2041-01-01T00:00:00,2045-12-31T00:00:00,False,True,/bdd/CORDEX/output/EUR-11/GERICS/CNRM-CERFACS-CNRM-CM5/rcp85/r1i1p1/GERICS-REMO2015/v2/day/tasmax/v20200925
31,/bdd/CORDEX/output/EUR-11/GERICS/CNRM-CERFACS-CNRM-CM5/rcp85/r1i1p1/GERICS-REMO2015/v2/day/tasmax/v20200925/tasmax_EUR-11_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_GERICS-REMO2015_v2_day_20660101-20701231.nc,CORDEX,output,EUR-11,GERICS,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,GERICS-REMO2015,v2,day,tasmax,v20200925,2066-01-01T00:00:00,2070-12-31T00:00:00,False,True,/bdd/CORDEX/output/EUR-11/GERICS/CNRM-CERFACS-CNRM-CM5/rcp85/r1i1p1/GERICS-REMO2015/v2/day/tasmax/v20200925
32,/bdd/CORDEX/output/EUR-11/GERICS/CNRM-CERFACS-CNRM-CM5/rcp85/r1i1p1/GERICS-REMO2015/v2/day/tasmax/v20200925/tasmax_EUR-11_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_GERICS-REMO2015_v2_day_20360101-20401231.nc,CORDEX,output,EUR-11,GERICS,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,GERICS-REMO2015,v2,day,tasmax,v20200925,2036-01-01T00:00:00,2040-12-31T00:00:00,False,True,/bdd/CORDEX/output/EUR-11/GERICS/CNRM-CERFACS-CNRM-CM5/rcp85/r1i1p1/GERICS-REMO2015/v2/day/tasmax/v20200925
33,/bdd/CORDEX/output/EUR-11/GERICS/CNRM-CERFACS-CNRM-CM5/rcp85/r1i1p1/GERICS-REMO2015/v2/day/tasmax/v20200925/tasmax_EUR-11_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_GERICS-REMO2015_v2_day_20260101-20301231.nc,CORDEX,output,EUR-11,GERICS,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,GERICS-REMO2015,v2,day,tasmax,v20200925,2026-01-01T00:00:00,2030-12-31T00:00:00,False,True,/bdd/CORDEX/output/EUR-11/GERICS/CNRM-CERFACS-CNRM-CM5/rcp85/r1i1p1/GERICS-REMO2015/v2/day/tasmax/v20200925
34,/bdd/CORDEX/output/EUR-11/GERICS/CNRM-CERFACS-CNRM-CM5/rcp85/r1i1p1/GERICS-REMO2015/v2/day/tasmax/v20200925/tasmax_EUR-11_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_GERICS-REMO2015_v2_day_20610101-20651231.nc,CORDEX,output,EUR-11,GERICS,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,GERICS-REMO2015,v2,day,tasmax,v20200925,2061-01-01T00:00:00,2065-12-31T00:00:00,False,True,/bdd/CORDEX/output/EUR-11/GERICS/CNRM-CERFACS-CNRM-CM5/rcp85/r1i1p1/GERICS-REMO2015/v2/day/tasmax/v20200925
35,/bdd/CORDEX/output/EUR-11/GERICS/CNRM-CERFACS-CNRM-CM5/rcp85/r1i1p1/GERICS-REMO2015/v2/day/tasmax/v20200925/tasmax_EUR-11_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_GERICS-REMO2015_v2_day_20910101-20951231.nc,CORDEX,output,EUR-11,GERICS,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,GERICS-REMO2015,v2,day,tasmax,v20200925,2091-01-01T00:00:00,2095-12-31T00:00:00,False,True,/bdd/CORDEX/output/EUR-11/GERICS/CNRM-CERFACS-CNRM-CM5/rcp85/r1i1p1/GERICS-REMO2015/v2/day/tasmax/v20200925
36,/bdd/CORDEX/output/EUR-11/GERICS/CNRM-CERFACS-CNRM-CM5/rcp85/r1i1p1/GERICS-REMO2015/v2/day/tasmax/v20200925/tasmax_EUR-11_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_GERICS-REMO2015_v2_day_20160101-20201231.nc,CORDEX,output,EUR-11,GERICS,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,GERICS-REMO2015,v2,day,tasmax,v20200925,2016-01-01T00:00:00,2020-12-31T00:00:00,False,True,/bdd/CORDEX/output/EUR-11/GERICS/CNRM-CERFACS-CNRM-CM5/rcp85/r1i1p1/GERICS-REMO2015/v2/day/tasmax/v20200925
37,/bdd/CORDEX/output/EUR-11/GERICS/CNRM-CERFACS-CNRM-CM5/rcp85/r1i1p1/GERICS-REMO2015/v2/day/tasmax/v20200925/tasmax_EUR-11_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_GERICS-REMO2015_v2_day_20810101-20851231.nc,CORDEX,output,EUR-11,GERICS,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,GERICS-REMO2015,v2,day,tasmax,v20200925,2081-01-01T00:00:00,2085-12-31T00:00:00,False,True,/bdd/CORDEX/output/EUR-11/GERICS/CNRM-CERFACS-CNRM-CM5/rcp85/r1i1p1/GERICS-REMO2015/v2/day/tasmax/v20200925
38,/bdd/CORDEX/output/EUR-11/DMI/MPI-M-MPI-ESM-LR/historical/r1i1p1/DMI-HIRHAM5/v1/day/tasmax/v20191101/tasmax_EUR-11_MPI-M-MPI-ESM-LR_historical_r1i1p1_DMI-HIRHAM5_v1_day_19510101-19551231.nc,CORDEX,output,EUR-11,DMI,MPI-M-MPI-ESM-LR,historical,r1i1p1,DMI-HIRHAM5,v1,day,tasmax,v20191101,1951-01-01T00:00:00,1955-12-31T00:00:00,False,True,/bdd/CORDEX/output/EUR-11/DMI/MPI-M-MPI-ESM-LR/historical/r1i1p1/DMI-HIRHAM5/v1/day/tasmax/v20191101
39,/bdd/CORDEX/output/EUR-11/DMI/MPI-M-MPI-ESM-LR/historical/r1i1p1/DMI-HIRHAM5/v1/day/tasmax/v20191101/tasmax_EUR-11_MPI-M-MPI-ESM-LR_historical_r1i1p1_DMI-HIRHAM5_v1_day_20010101-20051231.nc,CORDEX,output,EUR-11,DMI,MPI-M-MPI-ESM-LR,historical,r1i1p1,DMI-HIRHAM5,v1,day,tasmax,v20191101,2001-01-01T00:00:00,2005-12-31T00:00:00,False,True,/bdd/CORDEX/output/EUR-11/DMI/MPI-M-MPI-ESM-LR/historical/r1i1p1/DMI-HIRHAM5/v1/day/tasmax/v20191101
