,Year,Frequency,Nb hot days,Accumulated area summer,Mean duration summer,Max duration summer,Mean spatial extent summer,Max spatial extent summer,Mean accumulated area summer,Max accumulated area summer,Mean speed summer,Max speed summer,Mean distance summer,Max distance summer,temp_file_path,model,calendar
30,2005,4,48,5115504.197486006,12.0,20.0,189681.708875051,442550.1958714002,1278876.0493715014,3536265.2739883736,4.416830405157822,7.392283731622894,59.73679476080274,147.84567463245787,/scratchu/tmandonnet/CORDEX5-Adjust/bias-adjusted-input/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/RAW-NN/day/tasmax/v20260512/tasmax_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_RAW-NN_day_19500101-20051231.nc,KNMI_ICHEC-EC-EARTH_rcp45_r1i1p1_KNMI-RACMO22E_RAW-NN_day_tasmax_v20260512,noleap
31,2006,7,40,7347358.714734246,12.857142857142858,26.0,199253.55790849373,533496.3971601367,1049622.6735334636,2616336.086517359,8.007532434323517,16.748067773893137,106.62248734292196,289.380749103687,/scratchu/tmandonnet/CORDEX5-Adjust/bias-adjusted-input/EUR-11/KNMI/ICHEC-EC-EARTH/rcp45/r1i1p1/KNMI-RACMO22E/RAW-NN/day/tasmax/v20260512/tasmax_EUR-11_ICHEC-EC-EARTH_rcp45_r1i1p1_KNMI-RACMO22E_RAW-NN_day_20060101-21001231.nc,KNMI_ICHEC-EC-EARTH_rcp45_r1i1p1_KNMI-RACMO22E_RAW-NN_day_tasmax_v20260512,noleap
32,2007,2,35,3138593.1891669016,17.5,18.0,270718.0009930307,391856.060431268,1569296.5945834508,2461148.6724611027,10.27866701651594,16.62582932163007,183.050253941586,299.2649277893413,/scratchu/tmandonnet/CORDEX5-Adjust/bias-adjusted-input/EUR-11/KNMI/ICHEC-EC-EARTH/rcp45/r1i1p1/KNMI-RACMO22E/RAW-NN/day/tasmax/v20260512/tasmax_EUR-11_ICHEC-EC-EARTH_rcp45_r1i1p1_KNMI-RACMO22E_RAW-NN_day_20060101-21001231.nc,KNMI_ICHEC-EC-EARTH_rcp45_r1i1p1_KNMI-RACMO22E_RAW-NN_day_tasmax_v20260512,noleap
33,2008,2,38,1858417.9348042328,19.0,24.0,156632.4245393458,182595.6008564312,929208.9674021164,1195916.941839567,7.646985848228804,9.059001846255589,152.35281110648117,217.41604431013408,/scratchu/tmandonnet/CORDEX5-Adjust/bias-adjusted-input/EUR-11/KNMI/ICHEC-EC-EARTH/rcp45/r1i1p1/KNMI-RACMO22E/RAW-NN/day/tasmax/v20260512/tasmax_EUR-11_ICHEC-EC-EARTH_rcp45_r1i1p1_KNMI-RACMO22E_RAW-NN_day_20060101-21001231.nc,KNMI_ICHEC-EC-EARTH_rcp45_r1i1p1_KNMI-RACMO22E_RAW-NN_day_tasmax_v20260512,noleap
34,2009,4,53,6971344.534043478,19.5,31.0,257199.5302213932,430315.99202837824,1742836.1335108697,3998930.2846348416,11.779375973581551,20.66519850623993,219.81845052524005,484.653407694141,/scratchu/tmandonnet/CORDEX5-Adjust/bias-adjusted-input/EUR-11/KNMI/ICHEC-EC-EARTH/rcp45/r1i1p1/KNMI-RACMO22E/RAW-NN/day/tasmax/v20260512/tasmax_EUR-11_ICHEC-EC-EARTH_rcp45_r1i1p1_KNMI-RACMO22E_RAW-NN_day_20060101-21001231.nc,KNMI_ICHEC-EC-EARTH_rcp45_r1i1p1_KNMI-RACMO22E_RAW-NN_day_tasmax_v20260512,noleap
35,2010,1,9,1215372.8396641186,9.0,9.0,261238.31487714124,261238.31487714124,1215372.8396641186,1215372.8396641186,7.784214291604126,7.784214291604126,70.05792862443714,70.05792862443714,/scratchu/tmandonnet/CORDEX5-Adjust/bias-adjusted-input/EUR-11/KNMI/ICHEC-EC-EARTH/rcp45/r1i1p1/KNMI-RACMO22E/RAW-NN/day/tasmax/v20260512/tasmax_EUR-11_ICHEC-EC-EARTH_rcp45_r1i1p1_KNMI-RACMO22E_RAW-NN_day_20060101-21001231.nc,KNMI_ICHEC-EC-EARTH_rcp45_r1i1p1_KNMI-RACMO22E_RAW-NN_day_tasmax_v20260512,noleap
36,2011,3,92,3883546.990839125,38.333333333333336,92.0,237334.21702071928,331657.13760642015,1294515.6636130416,1874431.448173492,7.328893608751088,9.186498324999588,295.4804735119188,703.3737367539154,/scratchu/tmandonnet/CORDEX5-Adjust/bias-adjusted-input/EUR-11/KNMI/ICHEC-EC-EARTH/rcp45/r1i1p1/KNMI-RACMO22E/RAW-NN/day/tasmax/v20260512/tasmax_EUR-11_ICHEC-EC-EARTH_rcp45_r1i1p1_KNMI-RACMO22E_RAW-NN_day_20060101-21001231.nc,KNMI_ICHEC-EC-EARTH_rcp45_r1i1p1_KNMI-RACMO22E_RAW-NN_day_tasmax_v20260512,noleap
37,2012,3,49,7686714.359624505,16.333333333333332,22.0,506689.95380564407,947181.4248505818,2562238.119874835,4639028.69811641,20.583276171255687,51.29684479739199,248.40356779093332,564.2652927713119,/scratchu/tmandonnet/CORDEX5-Adjust/bias-adjusted-input/EUR-11/KNMI/ICHEC-EC-EARTH/rcp45/r1i1p1/KNMI-RACMO22E/RAW-NN/day/tasmax/v20260512/tasmax_EUR-11_ICHEC-EC-EARTH_rcp45_r1i1p1_KNMI-RACMO22E_RAW-NN_day_20060101-21001231.nc,KNMI_ICHEC-EC-EARTH_rcp45_r1i1p1_KNMI-RACMO22E_RAW-NN_day_tasmax_v20260512,noleap
38,2013,7,52,12141426.997485183,12.428571428571429,38.0,267127.13941273454,845336.5324006592,1734489.5710693118,6502566.605978013,6.557240336102489,19.00490913894117,139.9764727032488,722.1865472797643,/scratchu/tmandonnet/CORDEX5-Adjust/bias-adjusted-input/EUR-11/KNMI/ICHEC-EC-EARTH/rcp45/r1i1p1/KNMI-RACMO22E/RAW-NN/day/tasmax/v20260512/tasmax_EUR-11_ICHEC-EC-EARTH_rcp45_r1i1p1_KNMI-RACMO22E_RAW-NN_day_20060101-21001231.nc,KNMI_ICHEC-EC-EARTH_rcp45_r1i1p1_KNMI-RACMO22E_RAW-NN_day_tasmax_v20260512,noleap
39,2014,3,51,18299617.79690278,22.33333333333333,47.0,774545.240626725,2146946.527385655,6099872.598967593,17337366.301250406,7.840080813479719,8.44936403712418,183.20003033244032,397.1201097448365,/scratchu/tmandonnet/CORDEX5-Adjust/bias-adjusted-input/EUR-11/KNMI/ICHEC-EC-EARTH/rcp45/r1i1p1/KNMI-RACMO22E/RAW-NN/day/tasmax/v20260512/tasmax_EUR-11_ICHEC-EC-EARTH_rcp45_r1i1p1_KNMI-RACMO22E_RAW-NN_day_20060101-21001231.nc,KNMI_ICHEC-EC-EARTH_rcp45_r1i1p1_KNMI-RACMO22E_RAW-NN_day_tasmax_v20260512,noleap
